,"{'Name': '', 'Gender': 'Male', 'Married': False, 'Profession': 'president', 'Alive': True, 'Nationality': 'Unknown', 'Children': False}"
Orde Wingate,"{'Name': 'Orde Wingate', 'Gender': 'Male', 'Age': '41', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1903', 'Nationality': 'Unknown', 'Deathyear': '1944', 'Children': False}"
Thomas J. Capano,"{'Name': 'Thomas J. Capano', 'Gender': 'Male', 'Age': '62', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1949', 'Nationality': 'Unknown', 'Deathyear': '2011', 'Children': False}"
Tushar Gandhi,"{'Name': 'Tushar Gandhi', 'Gender': 'Male', 'Age': '54', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1960', 'Nationality': '&#160;India', 'Deathyear': False, 'Children': True}"
Wilhelm Marx,"{'Name': 'Wilhelm Marx', 'Gender': 'Male', 'Age': '83', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1863', 'Nationality': 'Unknown', 'Deathyear': '1946', 'Children': False}"
Karl Wilhelm von Willisen,"{'Name': 'Karl Wilhelm von Willisen', 'Gender': 'Male', 'Age': '89', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1790', 'Nationality': 'Unknown', 'Deathyear': '1879', 'Children': False}"
H. D. Deve Gowda,"{'Name': 'H. D. Deve Gowda', 'Gender': 'Male', 'Age': '81', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1933', 'Nationality': 'Indian', 'Deathyear': False, 'Children': True}"
Mike Huckabee,"{'Name': 'Mike Huckabee', 'Gender': 'Male', 'Age': '59', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1955', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
David Sweetman,"{'Name': 'David Sweetman', 'Gender': 'Male', 'Age': '59', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1943', 'Nationality': 'British', 'Deathyear': '2002', 'Children': False}"
C. S. Lewis,"{'Name': 'C. S. Lewis', 'Gender': 'Male', 'Age': '65', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1898', 'Nationality': 'Unknown', 'Deathyear': '1963', 'Children': False}"
Lolo Soetoro,"{'Name': 'Lolo Soetoro', 'Gender': 'Female', 'Age': '52', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1935', 'Nationality': 'Indonesia', 'Deathyear': '1987', 'Children': True}"
Teena Marie,"{'Name': 'Teena Marie', 'Gender': 'Female', 'Age': '54', 'Married': False, 'Profession': 'singer', 'Alive': False, 'Birthyear': '1956', 'Nationality': 'Unknown', 'Deathyear': '2010', 'Children': False}"
Muhammad Ali Jinnah,"{'Name': 'Muhammad Ali Jinnah', 'Gender': 'Male', 'Age': '72', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1876', 'Nationality': 'Unknown', 'Deathyear': '1948', 'Children': True}"
Kris Houghton,"{'Name': 'Kris Houghton', 'Gender': 'Female', 'Age': '59', 'Married': True, 'Profession': 'author', 'Alive': True, 'Birthyear': '1955', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Shrenik Kasturbhai Lalbhai,"{'Name': 'Shrenik Kasturbhai Lalbhai', 'Gender': 'Male', 'Age': '89', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1925', 'Nationality': 'Unknown', 'Deathyear': '2014', 'Children': True}"
Anugrah Narayan Sinha,"{'Name': 'Anugrah Narayan Sinha', 'Gender': 'Male', 'Age': '70', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1887', 'Nationality': 'Unknown', 'Deathyear': '1957', 'Children': True}"
Nandini Satpathy,"{'Name': 'Nandini Satpathy', 'Gender': 'Female', 'Age': '75', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1931', 'Nationality': 'Unknown', 'Deathyear': '2006', 'Children': True}"
Vijay Kumar Malhotra,"{'Name': 'Vijay Kumar Malhotra', 'Gender': 'Male', 'Age': '83', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1931', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Botho zu Eulenburg,"{'Name': 'Botho zu Eulenburg', 'Gender': 'Male', 'Age': '81', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1831', 'Nationality': 'Unknown', 'Deathyear': '1912', 'Children': True}"
Lillian Randolph,"{'Name': 'Lillian Randolph', 'Gender': 'Female', 'Age': '82', 'Married': True, 'Profession': 'actress', 'Alive': False, 'Birthyear': '1898', 'Nationality': 'Unknown', 'Deathyear': '1980', 'Children': True}"
Stanley Armour Dunham,"{'Name': 'Stanley Armour Dunham', 'Gender': 'Male', 'Age': '74', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1918', 'Nationality': 'Unknown', 'Deathyear': '1992', 'Children': False}"
Varun Gandhi,"{'Name': 'Varun Gandhi', 'Gender': 'Male', 'Age': '34', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1980', 'Nationality': 'Indian', 'Deathyear': False, 'Children': False}"
Yashwant Sinha,"{'Name': 'Yashwant Sinha', 'Gender': 'Male', 'Age': '77', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1937', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Claire Bloom,"{'Name': 'Claire Bloom', 'Gender': 'Female', 'Age': '83', 'Married': True, 'Profession': 'actress', 'Alive': True, 'Birthyear': '1931', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Atal Bihari Vajpayee,"{'Name': 'Atal Bihari Vajpayee', 'Gender': 'Male', 'Age': '90', 'Married': False, 'Profession': 'prime minister', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Musalia Mudavadi,"{'Name': 'Musalia Mudavadi', 'Gender': 'Male', 'Age': '54', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1960', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': True}"
Alex Quaison-Sackey,"{'Name': 'Alex Quaison-Sackey', 'Gender': 'Male', 'Age': '68', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1924', 'Nationality': 'Ghanaian', 'Deathyear': '1992', 'Children': True}"
Dale E. Wolf,"{'Name': 'Dale E. Wolf', 'Gender': 'Male', 'Age': '90', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Charles Arden-Clarke,"{'Name': 'Charles Arden-Clarke', 'Gender': 'Male', 'Age': '64', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1898', 'Nationality': 'Unknown', 'Deathyear': '1962', 'Children': False}"
Pius IX,"{'Name': 'Pius IX', 'Gender': 'Male', 'Age': '86', 'Married': False, 'Profession': 'pope', 'Alive': False, 'Birthyear': '1792', 'Nationality': 'Unknown', 'Deathyear': '1878', 'Children': False}"
Shrimad Rajchandra,"{'Name': 'Shrimad Rajchandra', 'Gender': 'Male', 'Age': '34', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1867', 'Nationality': 'Unknown', 'Deathyear': '1901', 'Children': False}"
Sunith Francis Rodrigues,"{'Name': 'Sunith Francis Rodrigues', 'Gender': 'Male', 'Age': '81', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1933', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Helen M. Roberts,"{'Name': 'Helen M. Roberts', 'Gender': 'Female', 'Age': '87', 'Married': True, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1896', 'Nationality': 'Unknown', 'Deathyear': '1983', 'Children': True}"
Mohandas Gandhi,"{'Name': 'Mohandas Gandhi', 'Gender': 'Male', 'Age': '79', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1869', 'Nationality': 'Unknown', 'Deathyear': '1948', 'Children': True}"
Roland Barthes,"{'Name': 'Roland Barthes', 'Gender': 'Male', 'Age': '65', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1915', 'Nationality': 'Unknown', 'Deathyear': '1980', 'Children': False}"
Reinhard Heydrich,"{'Name': 'Reinhard Heydrich', 'Gender': 'Male', 'Age': '38', 'Married': True, 'Profession': 'official', 'Alive': False, 'Birthyear': '1904', 'Nationality': 'German', 'Deathyear': '1942', 'Children': True}"
Madan Lal Khurana,"{'Name': 'Madan Lal Khurana', 'Gender': 'Male', 'Age': '78', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1936', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Jay Electronica,"{'Name': 'Jay Electronica', 'Gender': 'Male', 'Age': '38', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1976', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Murali Manohar Joshi,"{'Name': 'Murali Manohar Joshi', 'Gender': 'Male', 'Age': '80', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1934', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Bashar al-Assad,"{'Name': 'Bashar al-Assad', 'Gender': 'Male', 'Age': '49', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1965', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Satyajit Ray,"{'Name': 'Satyajit Ray', 'Gender': 'Male', 'Age': '71', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1921', 'Nationality': 'Unknown', 'Deathyear': '1992', 'Children': True}"
Tom Mboya,"{'Name': 'Tom Mboya', 'Gender': 'Male', 'Age': '39', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1930', 'Nationality': 'Unknown', 'Deathyear': '1969', 'Children': True}"
Christine Radogno,"{'Name': 'Christine Radogno', 'Gender': 'Female', 'Age': '62', 'Married': True, 'Profession': 'leader', 'Alive': True, 'Birthyear': '1952', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Gore Vidal,"{'Name': 'Gore Vidal', 'Gender': 'Male', 'Age': '87', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1925', 'Nationality': 'American', 'Deathyear': '2012', 'Children': False}"
Bob Riley,"{'Name': 'Bob Riley', 'Gender': 'Male', 'Age': '70', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1944', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Martha Rosler,"{'Name': 'Martha Rosler', 'Gender': 'Female', 'Age': '71', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1943', 'Nationality': 'American', 'Deathyear': False, 'Children': False}"
Mel Brooks,"{'Name': 'Mel Brooks', 'Gender': 'Male', 'Age': '88', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1926', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
Martin Bormann,"{'Name': 'Martin Bormann', 'Gender': 'Male', 'Age': '45', 'Married': True, 'Profession': 'official', 'Alive': False, 'Birthyear': '1900', 'Nationality': 'German', 'Deathyear': '1945', 'Children': True}"
John Hickenlooper,"{'Name': 'John Hickenlooper', 'Gender': 'Male', 'Age': '62', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1952', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Andrew Jackson,"{'Name': 'Andrew Jackson', 'Gender': 'Male', 'Age': '78', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1767', 'Nationality': 'Unknown', 'Deathyear': '1845', 'Children': True}"
Martin Wambora,"{'Name': 'Martin Wambora', 'Gender': 'Male', 'Age': '63', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1951', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': False}"
Kamala Nehru,"{'Name': 'Kamala Nehru', 'Gender': 'Female', 'Age': '37', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1899', 'Nationality': 'Indian', 'Deathyear': '1936', 'Children': True}"
Billie Holiday,"{'Name': 'Billie Holiday', 'Gender': 'Female', 'Age': '44', 'Married': False, 'Profession': 'singer', 'Alive': False, 'Birthyear': '1915', 'Nationality': 'Unknown', 'Deathyear': '1959', 'Children': False}"
Conrad Hilton Jr.,"{'Name': 'Conrad Hilton Jr.', 'Gender': 'Male', 'Age': '43', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1926', 'Nationality': 'Unknown', 'Deathyear': '1969', 'Children': True}"
James Monroe,"{'Name': 'James Monroe', 'Gender': 'Male', 'Age': '73', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1758', 'Nationality': 'Unknown', 'Deathyear': '1831', 'Children': True}"
Shivraj Patil,"{'Name': 'Shivraj Patil', 'Gender': 'Male', 'Age': '79', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1935', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Michael Wamalwa Kijana,"{'Name': 'Michael Wamalwa Kijana', 'Gender': 'Male', 'Age': '59', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1944', 'Nationality': 'Kenyan', 'Deathyear': '2003', 'Children': False}"
Pierre Omidyar,"{'Name': 'Pierre Omidyar', 'Gender': 'Male', 'Age': '47', 'Married': True, 'Profession': 'entrepreneur', 'Alive': True, 'Birthyear': '1967', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Kendrick Lamar,"{'Name': 'Kendrick Lamar', 'Gender': 'Male', 'Age': '27', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1987', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Ted Kaufman,"{'Name': 'Ted Kaufman', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1939', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Kasturbhai Lalbhai,"{'Name': 'Kasturbhai Lalbhai', 'Gender': 'Male', 'Age': '86', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1894', 'Nationality': 'Unknown', 'Deathyear': '1980', 'Children': True}"
Indira Gandhi,"{'Name': 'Indira Gandhi', 'Gender': 'Female', 'Age': '67', 'Married': True, 'Profession': 'prime minister', 'Alive': False, 'Birthyear': '1917', 'Nationality': 'Unknown', 'Deathyear': '1984', 'Children': True}"
Ted Stevens,"{'Name': 'Ted Stevens', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1923', 'Nationality': 'Unknown', 'Deathyear': '2010', 'Children': True}"
Rodrigo Santoro,"{'Name': 'Rodrigo Santoro', 'Gender': 'Male', 'Age': '39', 'Married': False, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1975', 'Nationality': 'Brazilian', 'Deathyear': False, 'Children': False}"
John Roberts,"{'Name': 'John Roberts', 'Gender': 'Male', 'Age': '59', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1955', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Sergei Anatolyevich Starostin,"{'Name': 'Sergei Anatolyevich Starostin', 'Gender': 'Male', 'Age': '52', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1953', 'Nationality': 'Unknown', 'Deathyear': '2005', 'Children': False}"
Buster Keaton,"{'Name': 'Buster Keaton', 'Gender': 'Male', 'Age': '71', 'Married': True, 'Profession': 'actor', 'Alive': False, 'Birthyear': '1895', 'Nationality': 'Unknown', 'Deathyear': '1966', 'Children': True}"
Zail Singh,"{'Name': 'Zail Singh', 'Gender': 'Male', 'Age': '78', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1916', 'Nationality': 'Unknown', 'Deathyear': '1994', 'Children': False}"
Richard M. Daley,"{'Name': 'Richard M. Daley', 'Gender': 'Male', 'Age': '72', 'Married': True, 'Profession': 'leader', 'Alive': True, 'Birthyear': '1942', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
James Tod,"{'Name': 'James Tod', 'Gender': 'Male', 'Age': '53', 'Married': True, 'Profession': 'official', 'Alive': False, 'Birthyear': '1782', 'Nationality': 'Unknown', 'Deathyear': '1835', 'Children': True}"
Robert Maxwell,"{'Name': 'Robert Maxwell', 'Gender': 'Male', 'Age': '68', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1923', 'Nationality': 'British', 'Deathyear': '1991', 'Children': True}"
Frank P. Briggs,"{'Name': 'Frank P. Briggs', 'Gender': 'Male', 'Age': '98', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1894', 'Nationality': 'Unknown', 'Deathyear': '1992', 'Children': False}"
Barbara Tuchman,"{'Name': 'Barbara Tuchman', 'Gender': 'Female', 'Age': '77', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1912', 'Nationality': 'American', 'Deathyear': '1989', 'Children': True}"
Kris Jenner,"{'Name': 'Kris Jenner', 'Gender': 'Female', 'Age': '59', 'Married': True, 'Profession': 'author', 'Alive': True, 'Birthyear': '1955', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Sunderlal Patwa,"{'Name': 'Sunderlal Patwa', 'Gender': 'Male', 'Age': '90', 'Married': False, 'Profession': 'leader', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
James Michael Curley,"{'Name': 'James Michael Curley', 'Gender': 'Male', 'Age': '84', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1874', 'Nationality': 'Unknown', 'Deathyear': '1958', 'Children': False}"
Ralph Waldo Emerson,"{'Name': 'Ralph Waldo Emerson', 'Gender': 'Male', 'Age': '79', 'Married': False, 'Profession': 'poet', 'Alive': False, 'Birthyear': '1803', 'Nationality': 'American', 'Deathyear': '1882', 'Children': False}"
Mohandas Karamchand Gandhi,"{'Name': 'Mohandas Karamchand Gandhi', 'Gender': 'Male', 'Age': '79', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1869', 'Nationality': 'Unknown', 'Deathyear': '1948', 'Children': True}"
Richard Burton,"{'Name': 'Richard Burton', 'Gender': 'Male', 'Age': '59', 'Married': True, 'Profession': 'actor', 'Alive': False, 'Birthyear': '1925', 'Nationality': 'Welsh', 'Deathyear': '1984', 'Children': True}"
Lyndon B. Johnson,"{'Name': 'Lyndon B. Johnson', 'Gender': 'Male', 'Age': '65', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1908', 'Nationality': 'Unknown', 'Deathyear': '1973', 'Children': True}"
Nolan Bushnell,"{'Name': 'Nolan Bushnell', 'Gender': 'Male', 'Age': '71', 'Married': False, 'Profession': 'engineer', 'Alive': True, 'Birthyear': '1943', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Shyamji Krishna Varma,"{'Name': 'Shyamji Krishna Varma', 'Gender': 'Male', 'Age': '73', 'Married': True, 'Profession': 'author', 'Alive': False, 'Birthyear': '1857', 'Nationality': 'Unknown', 'Deathyear': '1930', 'Children': False}"
Moms Mabley,"{'Name': 'Moms Mabley', 'Gender': 'Female', 'Age': '81', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1894', 'Nationality': 'United States', 'Deathyear': '1975', 'Children': False}"
Jonathan Singletary Dunham,"{'Name': 'Jonathan Singletary Dunham', 'Gender': 'Male', 'Age': '84', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1640', 'Nationality': 'Unknown', 'Deathyear': '1724', 'Children': False}"
Guru Arjan Dev,"{'Name': 'Guru Arjan Dev', 'Gender': 'Male', 'Age': '43', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1563', 'Nationality': 'Unknown', 'Deathyear': '1606', 'Children': True}"
Kwame Nkrumah,"{'Name': 'Kwame Nkrumah', 'Gender': 'Male', 'Age': '63', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1909', 'Nationality': 'Unknown', 'Deathyear': '1972', 'Children': True}"
Aamir Khan,"{'Name': 'Aamir Khan', 'Gender': 'Male', 'Age': '49', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1965', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Lyndon Baines Johnson,"{'Name': 'Lyndon Baines Johnson', 'Gender': 'Male', 'Age': '65', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1908', 'Nationality': 'Unknown', 'Deathyear': '1973', 'Children': True}"
Nicole Brown Simpson,"{'Name': 'Nicole Brown Simpson', 'Gender': 'Female', 'Age': '35', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1959', 'Nationality': 'Unknown', 'Deathyear': '1994', 'Children': True}"
Constantin Fehrenbach,"{'Name': 'Constantin Fehrenbach', 'Gender': 'Male', 'Age': '74', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1852', 'Nationality': 'Unknown', 'Deathyear': '1926', 'Children': False}"
Krishan Kant,"{'Name': 'Krishan Kant', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1927', 'Nationality': 'Unknown', 'Deathyear': '2002', 'Children': False}"
Chakravarti Rajgopalachari,"{'Name': 'Chakravarti Rajgopalachari', 'Gender': 'Male', 'Age': '94', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1878', 'Nationality': 'Unknown', 'Deathyear': '1972', 'Children': False}"
William Whiston,"{'Name': 'William Whiston', 'Gender': 'Male', 'Age': '85', 'Married': False, 'Profession': 'mathematician', 'Alive': False, 'Birthyear': '1667', 'Nationality': 'English', 'Deathyear': '1752', 'Children': False}"
Marian Shields Robinson,"{'Name': 'Marian Shields Robinson', 'Gender': 'Female', 'Age': '77', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1937', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
William Howard Taft IV,"{'Name': 'William Howard Taft IV', 'Gender': 'Male', 'Age': '69', 'Married': False, 'Profession': 'president', 'Alive': True, 'Birthyear': '1945', 'Nationality': 'United States of America', 'Deathyear': False, 'Children': False}"
Steve Jobs#Return to Apple,"{'Name': 'Steve Jobs#Return to Apple', 'Gender': 'Male', 'Age': '56', 'Married': True, 'Profession': 'entrepreneur', 'Alive': False, 'Birthyear': '1955', 'Nationality': 'Unknown', 'Deathyear': '2011', 'Children': True}"
Spike Lee,"{'Name': 'Spike Lee', 'Gender': 'Male', 'Age': '57', 'Married': True, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1957', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
Y. V. Chandrachud,"{'Name': 'Y. V. Chandrachud', 'Gender': 'Male', 'Age': '88', 'Married': True, 'Profession': 'judge', 'Alive': False, 'Birthyear': '1920', 'Nationality': 'Unknown', 'Deathyear': '2008', 'Children': False}"
John Paul II,"{'Name': 'John Paul II', 'Gender': 'Male', 'Age': '85', 'Married': False, 'Profession': 'pope', 'Alive': False, 'Birthyear': '1920', 'Nationality': 'Polish (with Vatican citizenship)', 'Deathyear': '2005', 'Children': False}"
Cheryl Burke,"{'Name': 'Cheryl Burke', 'Gender': 'Female', 'Age': '30', 'Married': False, 'Profession': 'dancer', 'Alive': True, 'Birthyear': '1984', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Wiz Khalifa,"{'Name': 'Wiz Khalifa', 'Gender': 'Male', 'Age': '27', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1987', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Childish Gambino,"{'Name': 'Childish Gambino', 'Gender': 'Male', 'Age': '31', 'Married': False, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1983', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Edward M. Kennedy,"{'Name': 'Edward M. Kennedy', 'Gender': 'Male', 'Age': '77', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1932', 'Nationality': 'Unknown', 'Deathyear': '2009', 'Children': True}"
Charles Darwin,"{'Name': 'Charles Darwin', 'Gender': 'Male', 'Age': '73', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1809', 'Nationality': 'British', 'Deathyear': '1882', 'Children': True}"
Master P,"{'Name': 'Master P', 'Gender': 'Male', 'Age': '44', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1970', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
James Madison,"{'Name': 'James Madison', 'Gender': 'Male', 'Age': '85', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1751', 'Nationality': 'Unknown', 'Deathyear': '1836', 'Children': True}"
Surinder Kapoor,"{'Name': 'Surinder Kapoor', 'Gender': 'Male', 'Age': '86', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1925', 'Nationality': 'Indian', 'Deathyear': '2011', 'Children': False}"
Dr. Dre,"{'Name': 'Dr. Dre', 'Gender': 'Male', 'Age': '49', 'Married': True, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1965', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Morarji Desai,"{'Name': 'Morarji Desai', 'Gender': 'Male', 'Age': '99', 'Married': True, 'Profession': 'prime minister', 'Alive': False, 'Birthyear': '1896', 'Nationality': 'Unknown', 'Deathyear': '1995', 'Children': False}"
General Zia-ul-Haq,"{'Name': 'General Zia-ul-Haq', 'Gender': 'Male', 'Age': '64', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': '1988', 'Children': True}"
Abbey Lincoln,"{'Name': 'Abbey Lincoln', 'Gender': 'Female', 'Age': '80', 'Married': False, 'Profession': 'writer', 'Alive': False, 'Birthyear': '1930', 'Nationality': 'Unknown', 'Deathyear': '2010', 'Children': False}"
Bruce Jenner,"{'Name': 'Bruce Jenner', 'Gender': 'Male', 'Age': '65', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1949', 'Nationality': 'United States', 'Deathyear': False, 'Children': False}"
Eugene Foss,"{'Name': 'Eugene Foss', 'Gender': 'Female', 'Age': '81', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1858', 'Nationality': 'Unknown', 'Deathyear': '1939', 'Children': True}"
Moses Akaranga,"{'Name': 'Moses Akaranga', 'Gender': 'Male', 'Age': '61', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1953', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': False}"
Christopher Clark,"{'Name': 'Christopher Clark', 'Gender': 'Male', 'Age': '54', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1960', 'Nationality': 'Australian', 'Deathyear': False, 'Children': True}"
Ronald Wayne,"{'Name': 'Ronald Wayne', 'Gender': 'Male', 'Age': '80', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1934', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Tanguturi Prakasam,"{'Name': 'Tanguturi Prakasam', 'Gender': 'Male', 'Age': '85', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1872', 'Nationality': 'Indian', 'Deathyear': '1957', 'Children': False}"
John F. Kennedy,"{'Name': 'John F. Kennedy', 'Gender': 'Male', 'Age': '46', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1917', 'Nationality': 'Unknown', 'Deathyear': '1963', 'Children': True}"
